time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-13 00:00:00+00:00,28,20,764,187
2025-06-14 00:00:00+00:00,30,13,611,170
2025-06-15 00:00:00+00:00,83,24,561,153
2025-06-16 00:00:00+00:00,87,20,1092,226
2025-06-17 00:00:00+00:00,51,22,1172,249
2025-06-18 00:00:00+00:00,41,22,1265,238
2025-06-19 00:00:00+00:00,31,20,1022,230
2025-06-20 00:00:00+00:00,38,19,876,202
2025-06-21 00:00:00+00:00,36,19,941,179
2025-06-22 00:00:00+00:00,39,19,680,139
2025-06-23 00:00:00+00:00,47,29,954,219
2025-06-24 00:00:00+00:00,35,19,1100,248
2025-06-25 00:00:00+00:00,30,16,1132,233
2025-06-26 00:00:00+00:00,19,11,1269,194
