time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-07 00:00:00+00:00,8,7,1565,281
2024-11-08 00:00:00+00:00,11,8,1324,296
2024-11-09 00:00:00+00:00,8,6,737,185
2024-11-10 00:00:00+00:00,5,4,833,177
2024-11-11 00:00:00+00:00,8,8,1479,272
2024-11-12 00:00:00+00:00,9,6,1357,280
2024-11-13 00:00:00+00:00,9,6,1275,292
2024-11-14 00:00:00+00:00,8,7,1351,279
2024-11-15 00:00:00+00:00,5,5,834,256
2024-11-16 00:00:00+00:00,4,4,949,196
2024-11-17 00:00:00+00:00,7,5,751,167
2024-11-18 00:00:00+00:00,4,4,1167,283
2024-11-19 00:00:00+00:00,4,4,1579,302
2024-11-20 00:00:00+00:00,6,4,1230,272
