time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-27 00:00:00+00:00,40,30,2372,365
2023-04-28 00:00:00+00:00,28,25,2378,369
2023-04-29 00:00:00+00:00,10,10,1092,240
2023-04-30 00:00:00+00:00,14,14,1510,250
2023-05-01 00:00:00+00:00,22,20,2011,265
2023-05-02 00:00:00+00:00,17,17,1924,283
2023-05-03 00:00:00+00:00,25,21,2034,284
2023-05-04 00:00:00+00:00,29,23,2530,371
2023-05-05 00:00:00+00:00,19,18,2788,430
2023-05-06 00:00:00+00:00,24,20,1693,297
2023-05-07 00:00:00+00:00,22,18,1743,264
2023-05-08 00:00:00+00:00,35,31,3054,383
2023-05-09 00:00:00+00:00,29,27,2804,415
2023-05-10 00:00:00+00:00,31,29,3015,442
