time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-27 00:00:00+00:00,28,25,2494,410
2023-02-28 00:00:00+00:00,36,31,2434,408
2023-03-01 00:00:00+00:00,35,29,1983,399
2023-03-02 00:00:00+00:00,37,28,2525,425
2023-03-03 00:00:00+00:00,34,26,2336,393
2023-03-04 00:00:00+00:00,32,25,1534,267
2023-03-05 00:00:00+00:00,28,18,1633,288
2023-03-06 00:00:00+00:00,46,37,2746,454
2023-03-07 00:00:00+00:00,37,32,2752,426
2023-03-08 00:00:00+00:00,19,17,2251,436
2023-03-09 00:00:00+00:00,30,26,2343,452
2023-03-10 00:00:00+00:00,43,31,2388,337
2023-03-11 00:00:00+00:00,24,21,1564,292
2023-03-12 00:00:00+00:00,15,13,1294,247
