time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-07 00:00:00+00:00,28,12,802,150
2025-06-08 00:00:00+00:00,40,20,675,168
2025-06-09 00:00:00+00:00,34,17,967,231
2025-06-10 00:00:00+00:00,32,18,903,210
2025-06-11 00:00:00+00:00,29,18,1058,249
2025-06-12 00:00:00+00:00,31,16,1056,237
2025-06-13 00:00:00+00:00,28,20,764,187
2025-06-14 00:00:00+00:00,30,13,611,170
2025-06-15 00:00:00+00:00,83,24,561,153
2025-06-16 00:00:00+00:00,87,20,1092,226
2025-06-17 00:00:00+00:00,51,22,1172,249
2025-06-18 00:00:00+00:00,41,22,1265,238
2025-06-19 00:00:00+00:00,31,20,1022,230
2025-06-20 00:00:00+00:00,27,16,805,196
