time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-11 00:00:00+00:00,26,23,4225,476
2023-08-12 00:00:00+00:00,18,18,3378,339
2023-08-13 00:00:00+00:00,21,18,3595,346
2023-08-14 00:00:00+00:00,30,24,4463,506
2023-08-15 00:00:00+00:00,18,18,3822,483
2023-08-16 00:00:00+00:00,28,22,5098,577
2023-08-17 00:00:00+00:00,30,27,4139,527
2023-08-18 00:00:00+00:00,24,23,3919,491
2023-08-19 00:00:00+00:00,23,22,3641,333
2023-08-20 00:00:00+00:00,22,16,3842,332
2023-08-21 00:00:00+00:00,29,23,4877,506
2023-08-22 00:00:00+00:00,34,30,4277,508
2023-08-23 00:00:00+00:00,31,24,4448,501
2023-08-24 00:00:00+00:00,21,20,4275,526
