time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-04 00:00:00+00:00,32,25,1534,267
2023-03-05 00:00:00+00:00,28,18,1633,288
2023-03-06 00:00:00+00:00,46,37,2746,454
2023-03-07 00:00:00+00:00,37,32,2752,426
2023-03-08 00:00:00+00:00,19,17,2251,436
2023-03-09 00:00:00+00:00,30,26,2343,452
2023-03-10 00:00:00+00:00,43,31,2388,337
2023-03-11 00:00:00+00:00,24,21,1564,292
2023-03-12 00:00:00+00:00,20,17,1397,259
2023-03-13 00:00:00+00:00,27,25,2363,401
2023-03-14 00:00:00+00:00,34,33,2584,419
2023-03-15 00:00:00+00:00,26,24,2110,433
2023-03-16 00:00:00+00:00,33,30,2236,410
2023-03-17 00:00:00+00:00,24,21,2009,395
