time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-02 00:00:00+00:00,17,17,1924,283
2023-05-03 00:00:00+00:00,25,21,2034,284
2023-05-04 00:00:00+00:00,29,23,2530,371
2023-05-05 00:00:00+00:00,19,18,2788,430
2023-05-06 00:00:00+00:00,24,20,1693,297
2023-05-07 00:00:00+00:00,22,18,1743,264
2023-05-08 00:00:00+00:00,35,31,3054,383
2023-05-09 00:00:00+00:00,29,27,2804,415
2023-05-10 00:00:00+00:00,33,31,3100,462
2023-05-11 00:00:00+00:00,35,26,3202,424
2023-05-12 00:00:00+00:00,36,28,3340,419
2023-05-13 00:00:00+00:00,18,17,2293,313
2023-05-14 00:00:00+00:00,19,17,2407,234
2023-05-15 00:00:00+00:00,29,26,3814,450
