time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-30 00:00:00+00:00,42,40,4829,515
2023-07-01 00:00:00+00:00,21,20,3173,393
2023-07-02 00:00:00+00:00,14,12,3790,436
2023-07-03 00:00:00+00:00,42,40,4097,606
2023-07-04 00:00:00+00:00,45,42,5208,644
2023-07-05 00:00:00+00:00,29,26,4554,577
2023-07-06 00:00:00+00:00,52,49,4973,587
2023-07-07 00:00:00+00:00,35,33,5489,524
2023-07-08 00:00:00+00:00,20,18,4821,398
2023-07-09 00:00:00+00:00,23,21,3551,383
2023-07-10 00:00:00+00:00,46,42,6238,618
2023-07-11 00:00:00+00:00,26,24,5580,533
2023-07-12 00:00:00+00:00,38,34,5982,569
2023-07-13 00:00:00+00:00,38,34,4572,524
