time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-26 00:00:00+00:00,12,10,1733,189
2024-05-27 00:00:00+00:00,26,20,2298,282
2024-05-28 00:00:00+00:00,13,9,3226,357
2024-05-29 00:00:00+00:00,22,19,2264,312
2024-05-30 00:00:00+00:00,21,16,2361,312
2024-05-31 00:00:00+00:00,12,12,1877,298
2024-06-01 00:00:00+00:00,20,16,1543,202
2024-06-02 00:00:00+00:00,17,11,1492,196
2024-06-03 00:00:00+00:00,15,14,3194,350
2024-06-04 00:00:00+00:00,27,14,3093,345
2024-06-05 00:00:00+00:00,37,21,2653,301
2024-06-06 00:00:00+00:00,16,14,2781,325
2024-06-07 00:00:00+00:00,23,17,2194,267
2024-06-08 00:00:00+00:00,12,9,1263,189
