time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-24 00:00:00+00:00,25,24,3320,338
2023-06-25 00:00:00+00:00,28,25,3548,458
2023-06-26 00:00:00+00:00,55,44,5203,603
2023-06-27 00:00:00+00:00,34,29,5065,617
2023-06-28 00:00:00+00:00,41,35,5162,577
2023-06-29 00:00:00+00:00,42,38,3995,540
2023-06-30 00:00:00+00:00,42,40,4829,515
2023-07-01 00:00:00+00:00,21,20,3173,393
2023-07-02 00:00:00+00:00,14,12,3790,436
2023-07-03 00:00:00+00:00,42,40,4097,606
2023-07-04 00:00:00+00:00,45,42,5208,644
2023-07-05 00:00:00+00:00,29,26,4554,577
2023-07-06 00:00:00+00:00,52,49,4973,587
2023-07-07 00:00:00+00:00,33,31,5283,501
